epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.5983,1.12881,0.79457,0.94359,0.82827,0.61852,0.70877,0.39259,1.77573,2.02417,1.09371,0.0670393,0.000332936,0.000332936
2,181.057,1.02556,0.56373,0.91195,0.52572,0.3301,0.36616,0.17667,1.97811,2.98164,1.16369,0.0340173,0.000644282,0.000644282
3,259.313,1.00056,0.5337,0.90507,0.54534,0.3637,0.41123,0.20178,1.97714,3.42442,1.12109,0.000973359,0.000933629,0.000933629
4,336.51,0.95413,0.50708,0.89726,0.72551,0.41135,0.51229,0.23796,2.15009,2.87515,1.24538,0.000901,0.000901,0.000901
5,417.438,0.91082,0.48804,0.88622,0.66064,0.30182,0.35723,0.1713,2.12655,3.6722,1.23616,0.000868,0.000868,0.000868
6,494.205,0.90164,0.4757,0.88388,0.66442,0.36847,0.44275,0.21399,2.0311,3.24271,1.20507,0.000835,0.000835,0.000835
7,578.569,0.86105,0.45703,0.87331,0.64206,0.41449,0.46257,0.23913,2.04127,3.08178,1.21082,0.000802,0.000802,0.000802
8,663.042,0.8422,0.44956,0.87013,0.69827,0.40194,0.47258,0.22135,2.20803,3.07117,1.27636,0.000769,0.000769,0.000769
9,746.348,0.82848,0.4369,0.86411,0.74312,0.2832,0.43853,0.2136,2.35851,3.92048,1.28904,0.000736,0.000736,0.000736
10,829.516,0.81217,0.42821,0.8651,0.76156,0.41313,0.48576,0.24194,2.17438,3.10968,1.27118,0.000703,0.000703,0.000703
11,911.29,0.80119,0.42174,0.85975,0.67915,0.25831,0.34124,0.16831,2.31705,4.0555,1.36667,0.00067,0.00067,0.00067
12,994.927,0.78265,0.41703,0.85667,0.68952,0.35385,0.40487,0.18723,2.23539,3.18392,1.36603,0.000637,0.000637,0.000637
13,1077.44,0.78208,0.41031,0.85626,0.687,0.39552,0.48411,0.23498,2.2884,3.01063,1.34695,0.000604,0.000604,0.000604
14,1159.36,0.75638,0.39998,0.85022,0.61887,0.20418,0.27483,0.12956,2.46565,4.41086,1.41214,0.000571,0.000571,0.000571
15,1240.72,0.75077,0.39709,0.84794,0.69793,0.30508,0.41452,0.20868,2.16834,3.85108,1.29822,0.000538,0.000538,0.000538
16,1324.21,0.73678,0.38647,0.84424,0.68993,0.2712,0.38049,0.17596,2.32194,3.7846,1.38002,0.000505,0.000505,0.000505
17,1407.39,0.72157,0.37626,0.84387,0.6247,0.36789,0.43044,0.21347,2.28919,3.52914,1.39514,0.000472,0.000472,0.000472
18,1489.97,0.71505,0.37441,0.83917,0.52838,0.32114,0.35948,0.18022,2.20724,3.86135,1.27982,0.000439,0.000439,0.000439
19,1571.57,0.69773,0.36515,0.83511,0.65327,0.3165,0.41098,0.20293,2.20247,3.67616,1.29041,0.000406,0.000406,0.000406
20,1653.92,0.68705,0.35791,0.83482,0.73269,0.32606,0.44366,0.23346,2.16489,3.83916,1.24419,0.000373,0.000373,0.000373
21,1738.54,0.68208,0.35336,0.84003,0.33139,0.49291,0.44297,0.21729,2.28847,3.88448,1.36314,0.00034,0.00034,0.00034
22,1820.81,0.66644,0.34592,0.83298,0.70062,0.32905,0.45369,0.23289,2.22598,3.74647,1.33485,0.000307,0.000307,0.000307
23,1903.37,0.65354,0.34098,0.83208,0.62731,0.25078,0.34442,0.17202,2.17692,3.9731,1.2934,0.000274,0.000274,0.000274
24,1986.28,0.63946,0.33141,0.8307,0.6497,0.1994,0.2914,0.14154,2.27566,4.46289,1.33835,0.000241,0.000241,0.000241
25,2068.79,0.62805,0.32486,0.82638,0.29312,0.35818,0.33913,0.18001,2.02053,4.32534,1.21018,0.000208,0.000208,0.000208
26,2153.93,0.61708,0.31678,0.82518,0.57831,0.21774,0.30842,0.1594,2.16694,4.21528,1.28631,0.000175,0.000175,0.000175
27,2235.68,0.60818,0.31123,0.82241,0.26935,0.37894,0.3316,0.16924,2.24398,4.39655,1.33997,0.000142,0.000142,0.000142
28,2320.26,0.5945,0.30382,0.82173,0.32603,0.46258,0.41182,0.21659,2.17736,4.01624,1.32518,0.000109,0.000109,0.000109
29,2404.01,0.58061,0.29791,0.81703,0.30329,0.42121,0.37529,0.19445,2.2364,4.33067,1.33722,7.6e-05,7.6e-05,7.6e-05
30,2484.91,0.577,0.29323,0.81676,0.31198,0.42704,0.38162,0.19671,2.16989,4.17257,1.30278,4.3e-05,4.3e-05,4.3e-05
