epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2588,1.10738,0.75362,0.94501,0.37293,0.33101,0.33255,0.14248,1.91952,6.72825,1.21142,0.0670786,0.00033254,0.00033254
2,145.819,1.0075,0.55097,0.91271,0.34794,0.24526,0.27412,0.1057,1.62468,5.43851,1.01733,0.0340456,0.000632912,0.000632912
3,216.063,0.98705,0.53539,0.90566,0.15422,0.28415,0.19611,0.07112,1.66756,5.20051,0.97266,0.00097965,0.000900285,0.000900285
4,284.07,0.95711,0.51558,0.89705,0.38559,0.28918,0.34041,0.16991,1.52392,5.24613,0.89028,0.0008515,0.0008515,0.0008515
5,353.75,0.92788,0.49378,0.88916,0.34738,0.22517,0.27526,0.13095,1.97816,6.35789,1.14991,0.000802,0.000802,0.000802
6,423.874,0.88923,0.4716,0.87999,0.35053,0.24672,0.28766,0.12124,1.75928,5.04751,1.13146,0.0007525,0.0007525,0.0007525
7,493.12,0.85981,0.45386,0.87481,0.32939,0.22525,0.27544,0.14201,1.75311,5.63819,1.04384,0.000703,0.000703,0.000703
8,562.383,0.82996,0.43745,0.8678,0.34415,0.31575,0.3273,0.15465,1.52972,4.79857,0.97112,0.0006535,0.0006535,0.0006535
9,631.649,0.80757,0.42198,0.86441,0.32689,0.29193,0.29114,0.14151,1.44436,4.60901,0.92989,0.000604,0.000604,0.000604
10,700.344,0.78877,0.41043,0.85807,0.29484,0.21682,0.2559,0.11836,1.5654,4.69517,0.94436,0.0005545,0.0005545,0.0005545
11,770.091,0.78096,0.40611,0.86821,0.33299,0.28537,0.30989,0.14667,1.31752,4.27696,0.86337,0.000505,0.000505,0.000505
12,839.104,0.76179,0.39465,0.86171,0.1949,0.29533,0.25446,0.11576,1.61314,4.99459,1.00904,0.0004555,0.0004555,0.0004555
13,907.794,0.73578,0.38332,0.85589,0.31803,0.19616,0.23504,0.10453,1.71605,5.62193,1.01573,0.000406,0.000406,0.000406
14,976.945,0.71858,0.36997,0.85138,0.30368,0.20493,0.24473,0.10494,1.73896,5.32558,1.07674,0.0003565,0.0003565,0.0003565
15,1045.11,0.69101,0.35576,0.84312,0.28344,0.16869,0.20507,0.08236,1.63699,5.27264,1.09973,0.000307,0.000307,0.000307
16,1114.26,0.67117,0.34358,0.83866,0.36222,0.22581,0.27138,0.11725,1.54128,4.91432,0.97386,0.0002575,0.0002575,0.0002575
17,1183.38,0.66073,0.33797,0.8371,0.32953,0.20199,0.24142,0.10403,1.58044,4.68933,1.06889,0.000208,0.000208,0.000208
18,1252.29,0.63137,0.3174,0.83052,0.29304,0.19908,0.2219,0.09461,1.51172,4.7073,1.0236,0.0001585,0.0001585,0.0001585
19,1321.33,0.61656,0.30908,0.82807,0.30377,0.19835,0.22802,0.09818,1.53284,4.7926,1.05289,0.000109,0.000109,0.000109
20,1391.61,0.6005,0.29735,0.82734,0.29751,0.18158,0.21329,0.08854,1.53418,4.8088,1.06265,5.95e-05,5.95e-05,5.95e-05
